% Graph saved at Tue Oct 30 2018 12:03:54 GMT-0400 (Eastern Daylight Time)
n 85 80
n 41 8
n 6 77
n 50 55
n 44 22
n 27 70
n 64 5
n 74 72
n 63 70
e 0 1 84.38009243891595
e 0 2 79.05694150420949
e 0 3 43.01162633521314
e 0 4 71.02816342831905
e 0 5 58.855755878248644
e 0 6 77.88452991448301
e 0 7 13.601470508735444
e 0 8 24.166091947189145
e 1 2 77.3692445355388
e 1 3 47.853944456021594
e 1 4 14.317821063276353
e 1 5 63.56099432828282
e 1 6 23.194827009486403
e 1 7 72.00694410957877
e 1 8 65.7875368135941
e 2 3 49.193495504995376
e 2 4 66.85057965343307
e 2 5 22.135943621178654
e 2 6 92.45539465060976
e 2 7 68.18357573492314
e 2 8 57.42821606144492
e 3 4 33.54101966249684
e 3 5 27.459060435491963
e 3 6 51.92301994298868
e 3 7 29.410882339705484
e 3 8 19.849433241279208
e 4 5 50.92150822589606
e 4 6 26.248809496813376
e 4 7 58.309518948453004
e 4 8 51.62363799656123
e 5 6 74.79304780526061
e 5 7 47.042533945356304
e 5 8 36.0
e 6 7 67.7421582177598
e 6 8 65.00769185258002
e 7 8 11.180339887498949
